# Excitonic eigen energies and oscillator strengths
#
# Momentum transfer Q=G+q in lattice cooridnates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian cooridnates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
# Energy scale  27.2113839
# E_shift : -0.1529638416064815E+02
#
#    Nr.                       E               E+E_shift             |Osc. Str.|      Re(Osc. Str. Res.)      Im(Osc. Str. Res.)
      20     15.2827154496392215     -0.0136687110089250  0.8213213314453868E-03  0.8213213314453868E-03  0.0000000000000000E+00
      21     15.3248456970893727      0.0284615364412256  0.4476281637867882E-03  0.4476281637867882E-03  0.0000000000000000E+00
      22     15.4240988043707983      0.1277146437226516  0.1989869826236981E-02  0.1989869826236981E-02  0.0000000000000000E+00
      23     15.5318336332319831      0.2354494725838364  0.9612010390515289E-03  0.9612010390515289E-03  0.0000000000000000E+00
      24     15.5965559756115990      0.3001718149634534  0.1269647862429192E-03  0.1269647862429192E-03  0.0000000000000000E+00
      25     15.7328449005620890      0.4364607399139426  0.1288490156646454E-02  0.1288490156646454E-02  0.0000000000000000E+00
      26     15.8136269366992668      0.5172427760511201  0.1326013831832656E-02  0.1326013831832656E-02  0.0000000000000000E+00
      27     15.8895165805841661      0.5931324199360203  0.5685241447588391E-03  0.5685241447588391E-03  0.0000000000000000E+00
      28     15.8910022370137298      0.5946180763655842  0.7132521864018941E-03  0.7132521864018941E-03  0.0000000000000000E+00
      29     16.0338941215855506      0.7375099609374040  0.5346528986694568E-03  0.5346528986694568E-03  0.0000000000000000E+00
      30     16.1156461770307260      0.8192620163825794  0.5964337273956502E-03  0.5964337273956502E-03  0.0000000000000000E+00
      31     16.2282466131159993      0.9318624524678533  0.2141650866575173E-02  0.2141650866575173E-02  0.0000000000000000E+00
      32     16.2455240186103502      0.9491398579622055  0.1280526467126511E-02  0.1280526467126511E-02  0.0000000000000000E+00
      33     16.3148100497046542      1.0184258890565077  0.6897502423746627E-03  0.6897502423746627E-03  0.0000000000000000E+00
