0.01  19.96  0.05   # D_min      D_max       D_step
0.00   1.00  0.05   # delta_min  delta_max   delta_step
400 21              # n_D  n_delta
1.22221     1.21758      1.2038       1.18118      1.15021     1.1116      1.06618     1.01493     0.958947     0.899369    0.837386    0.774179    0.710887    0.648566    0.588161     0.530476    0.476147     0.425628     0.379186     0.336895   0.29872
1.15569     1.15126      1.13809      1.11645      1.0868      1.04979     1.0062      0.956933    0.903026     0.845571    0.785709    0.724583    0.66331     0.602937    0.544409     0.488538    0.435977     0.387198     0.342483     0.301918   0.265464
1.08544     1.08125      1.06879      1.04831      1.02022     0.985088    0.943642    0.896721    0.845276     0.790335    0.73298     0.674314    0.615419    0.557327    0.500979     0.447195    0.39664      0.349805     0.306991     0.268295   0.233683
1.01221     1.0083       0.99665      0.977477     0.951146    0.918163    0.879165    0.834913    0.786273     0.734197    0.679701    0.623832    0.567636    0.51212     0.458218     0.406753    0.358406     0.313685     0.272911     0.236198   0.203515
0.936714    0.933109     0.922353     0.904632     0.880253    0.849645    0.813362    0.772069    0.726541     0.677644    0.626317    0.573544    0.520326    0.467642    0.416413     0.367465    0.321491     0.27902      0.240394     0.205746   0.175051
0.859618    0.85634      0.846555     0.830408     0.808145    0.780116    0.746778    0.708699    0.666551     0.621106    0.573217    0.5238      0.473801    0.424166    0.375801     0.329532    0.286063     0.245946     0.209545     0.177015   0.148341
0.781539    0.778611     0.76986      0.755392     0.735386    0.710107    0.679913    0.645265    0.606726     0.564966    0.520744    0.4749      0.428321    0.381916    0.33657      0.293107    0.252244     0.214555     0.180429     0.150046   0.123404
0.703052    0.700491     0.692827     0.680123     0.662489    0.640102    0.613217    0.582179    0.547439     0.509555    0.469189    0.427097    0.384103    0.341071    0.298865     0.258304    0.220119     0.184905     0.153079     0.124849   0.100229
0.624682    0.622502     0.615967     0.605093     0.589923    0.570541    0.547093    0.519808    0.489017     0.455162    0.418802    0.380603    0.341321    0.301772    0.262794     0.225203    0.18974      0.157023     0.127501     0.10141    0.0787842
0.54691     0.545121     0.539743     0.530749     0.51811     0.501814    0.481899    0.458473    0.431744     0.402033    0.36979     0.335589    0.300111    0.264122    0.228433     0.193851    0.161129     0.130911     0.103676     0.0796943  0.0590204
0.470168    0.468776     0.464575     0.457491     0.447425    0.43427     0.417951    0.398455    0.375862     0.350373    0.322323    0.292189    0.260576    0.228195    0.195826     0.164268    0.134286     0.106548     0.0815683    0.0596506  0.0408746
0.394843    0.393851     0.390834     0.385675     0.378201    0.368213    0.355523    0.339994    0.321579     0.300353    0.276538    0.250508    0.22279     0.194036    0.164995     0.136455    0.109192     0.0838994    0.0611272    0.0412167  0.0242747
0.321279    0.320686     0.318852     0.315615     0.310731    0.303909    0.294849    0.283292    0.269063     0.25211     0.232538    0.210621    0.186799    0.161668    0.13594      0.110392    0.0858095    0.0629139    0.042291     0.0243212  0.00914153
0.249777    0.249579     0.248915     0.247582     0.245266    0.241585    0.236129    0.228519    0.218452     0.205752    0.190404    0.172577    0.152629    0.131093    0.108643     0.0860438   0.0640906    0.0435312    0.0249894    0.00888668 -0.00460803
0.180597    0.180787     0.181273     0.18181      0.18202     0.181431    0.179528    0.175812    0.169856     0.161358    0.150186    0.136405    0.120286    0.102296    0.0830717    0.0633644   0.0439766    0.0256833    0.00914697   -0.00516825 -0.0170592
0.113959    0.114527     0.116134     0.118497     0.121173    0.123606    0.12518     0.125279    0.123356     0.118986    0.111919    0.102115    0.0897568   0.0752483   0.0591832    0.0422977   0.0254015    0.00929643   -0.00531564  -0.0179267 -0.0282977
0.0500489   0.0509828    0.0536745    0.0578041    0.0628704   0.0682367   0.0731891   0.0770029   0.0790111    0.0786699   0.0756141   0.0696983   0.0610182   0.0499096   0.0369241    0.0227802   0.00829417   -0.00570631  -0.0184794   -0.0294723 -0.0384081
-0.0109842  -0.00969928  -0.00596594  -0.00013799  0.00722821  0.0154211   0.0236352   0.0310409   0.0368582    0.040427    0.0412691   0.0391355   0.0340334   0.0262307   0.0162343    0.00474371  -0.00742006  -0.0194038   -0.0304258   -0.0398874 -0.0474731
-0.0690223  -0.0674031   -0.0626771   -0.0552291   -0.0456661  -0.0347684  -0.023427   -0.0125698  -0.00308462  0.00425699  0.0088669   0.0103938   0.00875687  0.00415475  -0.00295154  -0.0118838  -0.0218176   -0.0318751   -0.0412352   -0.0492528 -0.0555724
-0.123978   -0.122043    -0.116378    -0.107397    -0.0957508  -0.0822835  -0.067964   -0.0538118  -0.0408158   -0.0298541  -0.0216212  -0.0165683  -0.0148642  -0.01638    -0.0207024   -0.0271762  -0.0349753   -0.0431989   -0.0509865   -0.0576465 -0.0627824
