# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.4121980427112800E+03 +0.1512380436342498E-04 +0.0000000000000000E+00
+0.4122524654790000E+03 +0.1518359401756034E-04 +0.0000000000000000E+00
+0.4123068882467200E+03 +0.1524374328903395E-04 +0.0000000000000000E+00
+0.4123613110144400E+03 +0.1530425510086858E-04 +0.0000000000000000E+00
+0.4124157337821600E+03 +0.1536513240613703E-04 +0.0000000000000000E+00
+0.4124701565498800E+03 +0.1542637818833663E-04 +0.0000000000000000E+00
+0.4125245793176000E+03 +0.1548799546176964E-04 +0.0000000000000000E+00
+0.4125790020853200E+03 +0.1554998727192862E-04 +0.0000000000000000E+00
+0.4126334248530400E+03 +0.1561235669588785E-04 +0.0000000000000000E+00
+0.4126878476207600E+03 +0.1567510684270071E-04 +0.0000000000000000E+00
+0.4127422703884800E+03 +0.1573824085380232E-04 +0.0000000000000000E+00
+0.4127966931562000E+03 +0.1580176190341899E-04 +0.0000000000000000E+00
+0.4128511159239200E+03 +0.1586567319898288E-04 +0.0000000000000000E+00
+0.4129055386916400E+03 +0.1592997798155356E-04 +0.0000000000000000E+00
+0.4129599614593600E+03 +0.1599467952624557E-04 +0.0000000000000000E+00
+0.4130143842270800E+03 +0.1605978114266232E-04 +0.0000000000000000E+00
+0.4130688069948000E+03 +0.1612528617533649E-04 +0.0000000000000000E+00
+0.4131232297625201E+03 +0.1619119800417745E-04 +0.0000000000000000E+00
+0.4131776525302400E+03 +0.1625752004492472E-04 +0.0000000000000000E+00
+0.4132320752979600E+03 +0.1632425574960915E-04 +0.0000000000000000E+00
+0.4132864980656801E+03 +0.1639140860702013E-04 +0.0000000000000000E+00
+0.4133409208334000E+03 +0.1645898214318065E-04 +0.0000000000000000E+00
+0.4133953436011200E+03 +0.1652697992182945E-04 +0.0000000000000000E+00
+0.4134497663688401E+03 +0.1659540554491007E-04 +0.0000000000000000E+00
+0.4135041891365600E+03 +0.1666426265306777E-04 +0.0000000000000000E+00
+0.4135586119042800E+03 +0.1673355492615424E-04 +0.0000000000000000E+00
+0.4136130346720000E+03 +0.1680328608373946E-04 +0.0000000000000000E+00
+0.4136674574397200E+03 +0.1687345988563211E-04 +0.0000000000000000E+00
+0.4137218802074401E+03 +0.1694408013240735E-04 +0.0000000000000000E+00
+0.4137763029751600E+03 +0.1701515066594323E-04 +0.0000000000000000E+00
+0.4138307257428800E+03 +0.1708667536996551E-04 +0.0000000000000000E+00
+0.4138851485106001E+03 +0.1715865817060024E-04 +0.0000000000000000E+00
+0.4139395712783200E+03 +0.1723110303693571E-04 +0.0000000000000000E+00
+0.4139939940460400E+03 +0.1730401398159292E-04 +0.0000000000000000E+00
+0.4140484168137600E+03 +0.1737739506130462E-04 +0.0000000000000000E+00
+0.4141028395814800E+03 +0.1745125037750414E-04 +0.0000000000000000E+00
+0.4141572623492000E+03 +0.1752558407692259E-04 +0.0000000000000000E+00
+0.4142116851169200E+03 +0.1760040035219625E-04 +0.0000000000000000E+00
+0.4142661078846400E+03 +0.1767570344248337E-04 +0.0000000000000000E+00
+0.4143205306523600E+03 +0.1775149763409013E-04 +0.0000000000000000E+00
+0.4143749534200800E+03 +0.1782778726110733E-04 +0.0000000000000000E+00
+0.4144293761878000E+03 +0.1790457670605703E-04 +0.0000000000000000E+00
+0.4144837989555200E+03 +0.1798187040054893E-04 +0.0000000000000000E+00
+0.4145382217232400E+03 +0.1805967282594803E-04 +0.0000000000000000E+00
+0.4145926444909600E+03 +0.1813798851405233E-04 +0.0000000000000000E+00
+0.4146470672586800E+03 +0.1821682204778178E-04 +0.0000000000000000E+00
+0.4147014900264001E+03 +0.1829617806187853E-04 +0.0000000000000000E+00
+0.4147559127941200E+03 +0.1837606124361769E-04 +0.0000000000000000E+00
+0.4148103355618400E+03 +0.1845647633353028E-04 +0.0000000000000000E+00
+0.4148647583295601E+03 +0.1853742812613798E-04 +0.0000000000000000E+00
+0.4149191810972800E+03 +0.1861892147069904E-04 +0.0000000000000000E+00
+0.4149736038650000E+03 +0.1870096127196730E-04 +0.0000000000000000E+00
+0.4150280266327200E+03 +0.1878355249096276E-04 +0.0000000000000000E+00
+0.4150824494004400E+03 +0.1886670014575539E-04 +0.0000000000000000E+00
+0.4151368721681600E+03 +0.1895040931226168E-04 +0.0000000000000000E+00
+0.4151912949358800E+03 +0.1903468512505376E-04 +0.0000000000000000E+00
+0.4152457177036000E+03 +0.1911953277818289E-04 +0.0000000000000000E+00
+0.4153001404713200E+03 +0.1920495752601541E-04 +0.0000000000000000E+00
+0.4153545632390400E+03 +0.1929096468408329E-04 +0.0000000000000000E+00
+0.4154089860067600E+03 +0.1937755962994906E-04 +0.0000000000000000E+00
+0.4154634087744801E+03 +0.1946474780408398E-04 +0.0000000000000000E+00
+0.4155178315422000E+03 +0.1955253471076211E-04 +0.0000000000000000E+00
+0.4155722543099200E+03 +0.1964092591896891E-04 +0.0000000000000000E+00
+0.4156266770776400E+03 +0.1972992706332462E-04 +0.0000000000000000E+00
+0.4156810998453600E+03 +0.1981954384502419E-04 +0.0000000000000000E+00
+0.4157355226130800E+03 +0.1990978203279188E-04 +0.0000000000000000E+00
+0.4157899453808000E+03 +0.2000064746385293E-04 +0.0000000000000000E+00
+0.4158443681485200E+03 +0.2009214604492161E-04 +0.0000000000000000E+00
+0.4158987909162400E+03 +0.2018428375320525E-04 +0.0000000000000000E+00
+0.4159532136839600E+03 +0.2027706663742638E-04 +0.0000000000000000E+00
+0.4160076364516800E+03 +0.2037050081886205E-04 +0.0000000000000000E+00
+0.4160620592194000E+03 +0.2046459249240044E-04 +0.0000000000000000E+00
+0.4161164819871200E+03 +0.2055934792761641E-04 +0.0000000000000000E+00
+0.4161709047548400E+03 +0.2065477346986481E-04 +0.0000000000000000E+00
+0.4162253275225600E+03 +0.2075087554139331E-04 +0.0000000000000000E+00
+0.4162797502902800E+03 +0.2084766064247420E-04 +0.0000000000000000E+00
+0.4163341730580000E+03 +0.2094513535255584E-04 +0.0000000000000000E+00
+0.4163885958257200E+03 +0.2104330633143389E-04 +0.0000000000000000E+00
+0.4164430185934401E+03 +0.2114218032044380E-04 +0.0000000000000000E+00
+0.4164974413611600E+03 +0.2124176414367307E-04 +0.0000000000000000E+00
+0.4165518641288800E+03 +0.2134206470919574E-04 +0.0000000000000000E+00
+0.4166062868966000E+03 +0.2144308901032780E-04 +0.0000000000000000E+00
+0.4166607096643200E+03 +0.2154484412690520E-04 +0.0000000000000000E+00
+0.4167151324320400E+03 +0.2164733722658485E-04 +0.0000000000000000E+00
+0.4167695551997600E+03 +0.2175057556616734E-04 +0.0000000000000000E+00
+0.4168239779674800E+03 +0.2185456649294453E-04 +0.0000000000000000E+00
+0.4168784007352000E+03 +0.2195931744607086E-04 +0.0000000000000000E+00
+0.4169328235029200E+03 +0.2206483595795825E-04 +0.0000000000000000E+00
+0.4169872462706400E+03 +0.2217112965569754E-04 +0.0000000000000000E+00
+0.4170416690383601E+03 +0.2227820626250388E-04 +0.0000000000000000E+00
+0.4170960918060800E+03 +0.2238607359918926E-04 +0.0000000000000000E+00
+0.4171505145738000E+03 +0.2249473958566160E-04 +0.0000000000000000E+00
+0.4172049373415201E+03 +0.2260421224244998E-04 +0.0000000000000000E+00
+0.4172593601092400E+03 +0.2271449969225871E-04 +0.0000000000000000E+00
+0.4173137828769600E+03 +0.2282561016154961E-04 +0.0000000000000000E+00
+0.4173682056446800E+03 +0.2293755198215190E-04 +0.0000000000000000E+00
+0.4174226284124000E+03 +0.2305033359290363E-04 +0.0000000000000000E+00
+0.4174770511801200E+03 +0.2316396354132131E-04 +0.0000000000000000E+00
+0.4175314739478400E+03 +0.2327845048530146E-04 +0.0000000000000000E+00
+0.4175858967155600E+03 +0.2339380319485353E-04 +0.0000000000000000E+00
+0.4176403194832801E+03 +0.2351003055386414E-04 +0.0000000000000000E+00
+0.4176947422510000E+03 +0.2362714156189470E-04 +0.0000000000000000E+00
+0.4177491650187200E+03 +0.2374514533601302E-04 +0.0000000000000000E+00
+0.4178035877864400E+03 +0.2386405111265740E-04 +0.0000000000000000E+00
+0.4178580105541600E+03 +0.2398386824953777E-04 +0.0000000000000000E+00
+0.4179124333218800E+03 +0.2410460622757092E-04 +0.0000000000000000E+00
+0.4179668560896000E+03 +0.2422627465285267E-04 +0.0000000000000000E+00
+0.4180212788573200E+03 +0.2434888325866811E-04 +0.0000000000000000E+00
+0.4180757016250400E+03 +0.2447244190753830E-04 +0.0000000000000000E+00
+0.4181301243927600E+03 +0.2459696059330719E-04 +0.0000000000000000E+00
+0.4181845471604800E+03 +0.2472244944326812E-04 +0.0000000000000000E+00
+0.4182389699282000E+03 +0.2484891872032996E-04 +0.0000000000000000E+00
+0.4182933926959200E+03 +0.2497637882522625E-04 +0.0000000000000000E+00
+0.4183478154636400E+03 +0.2510484029876561E-04 +0.0000000000000000E+00
+0.4184022382313600E+03 +0.2523431382412571E-04 +0.0000000000000000E+00
+0.4184566609990800E+03 +0.2536481022919265E-04 +0.0000000000000000E+00
+0.4185110837668000E+03 +0.2549634048894400E-04 +0.0000000000000000E+00
+0.4185655065345200E+03 +0.2562891572787927E-04 +0.0000000000000000E+00
+0.4186199293022401E+03 +0.2576254722249806E-04 +0.0000000000000000E+00
+0.4186743520699600E+03 +0.2589724640382527E-04 +0.0000000000000000E+00
+0.4187287748376800E+03 +0.2603302485998769E-04 +0.0000000000000000E+00
+0.4187831976054001E+03 +0.2616989433883941E-04 +0.0000000000000000E+00
+0.4188376203731200E+03 +0.2630786675064052E-04 +0.0000000000000000E+00
+0.4188920431408400E+03 +0.2644695417078836E-04 +0.0000000000000000E+00
+0.4189464659085601E+03 +0.2658716884260248E-04 +0.0000000000000000E+00
+0.4190008886762800E+03 +0.2672852318016551E-04 +0.0000000000000000E+00
+0.4190553114440000E+03 +0.2687102977122139E-04 +0.0000000000000000E+00
+0.4191097342117200E+03 +0.2701470138012983E-04 +0.0000000000000000E+00
+0.4191641569794400E+03 +0.2715955095088269E-04 +0.0000000000000000E+00
+0.4192185797471600E+03 +0.2730559161017845E-04 +0.0000000000000000E+00
+0.4192730025148800E+03 +0.2745283667056086E-04 +0.0000000000000000E+00
+0.4193274252826000E+03 +0.2760129963362070E-04 +0.0000000000000000E+00
+0.4193818480503201E+03 +0.2775099419326188E-04 +0.0000000000000000E+00
+0.4194362708180400E+03 +0.2790193423903506E-04 +0.0000000000000000E+00
+0.4194906935857600E+03 +0.2805413385953954E-04 +0.0000000000000000E+00
+0.4195451163534800E+03 +0.2820760734589405E-04 +0.0000000000000000E+00
+0.4195995391212000E+03 +0.2836236919528042E-04 +0.0000000000000000E+00
+0.4196539618889200E+03 +0.2851843411455874E-04 +0.0000000000000000E+00
+0.4197083846566400E+03 +0.2867581702395904E-04 +0.0000000000000000E+00
+0.4197628074243600E+03 +0.2883453306084921E-04 +0.0000000000000000E+00
+0.4198172301920800E+03 +0.2899459758358053E-04 +0.0000000000000000E+00
+0.4198716529598000E+03 +0.2915602617541496E-04 +0.0000000000000000E+00
+0.4199260757275200E+03 +0.2931883464853474E-04 +0.0000000000000000E+00
+0.4199804984952400E+03 +0.2948303904813495E-04 +0.0000000000000000E+00
+0.4200349212629600E+03 +0.2964865565660475E-04 +0.0000000000000000E+00
+0.4200893440306800E+03 +0.2981570099779508E-04 +0.0000000000000000E+00
+0.4201437667984000E+03 +0.2998419184137819E-04 +0.0000000000000000E+00
+0.4201981895661200E+03 +0.3015414520730079E-04 +0.0000000000000000E+00
+0.4202526123338400E+03 +0.3032557837033040E-04 +0.0000000000000000E+00
+0.4203070351015600E+03 +0.3049850886470122E-04 +0.0000000000000000E+00
+0.4203614578692801E+03 +0.3067295448885972E-04 +0.0000000000000000E+00
+0.4204158806370000E+03 +0.3084893331031120E-04 +0.0000000000000000E+00
+0.4204703034047200E+03 +0.3102646367057405E-04 +0.0000000000000000E+00
+0.4205247261724401E+03 +0.3120556419023895E-04 +0.0000000000000000E+00
+0.4205791489401600E+03 +0.3138625377414038E-04 +0.0000000000000000E+00
+0.4206335717078800E+03 +0.3156855161664125E-04 +0.0000000000000000E+00
+0.4206879944756000E+03 +0.3175247720703184E-04 +0.0000000000000000E+00
+0.4207424172433200E+03 +0.3193805033504994E-04 +0.0000000000000000E+00
+0.4207968400110400E+03 +0.3212529109652206E-04 +0.0000000000000000E+00
+0.4208512627787600E+03 +0.3231421989912894E-04 +0.0000000000000000E+00
+0.4209056855464800E+03 +0.3250485746830139E-04 +0.0000000000000000E+00
+0.4209601083142001E+03 +0.3269722485324571E-04 +0.0000000000000000E+00
+0.4210145310819200E+03 +0.3289134343310539E-04 +0.0000000000000000E+00
+0.4210689538496400E+03 +0.3308723492326160E-04 +0.0000000000000000E+00
+0.4211233766173601E+03 +0.3328492138177468E-04 +0.0000000000000000E+00
+0.4211777993850800E+03 +0.3348442521597202E-04 +0.0000000000000000E+00
+0.4212322221528000E+03 +0.3368576918918670E-04 +0.0000000000000000E+00
+0.4212866449205200E+03 +0.3388897642764746E-04 +0.0000000000000000E+00
+0.4213410676882400E+03 +0.3409407042752896E-04 +0.0000000000000000E+00
+0.4213954904559600E+03 +0.3430107506216117E-04 +0.0000000000000000E+00
+0.4214499132236800E+03 +0.3451001458940693E-04 +0.0000000000000000E+00
+0.4215043359914000E+03 +0.3472091365920991E-04 +0.0000000000000000E+00
+0.4215587587591201E+03 +0.3493379732131577E-04 +0.0000000000000000E+00
+0.4216131815268400E+03 +0.3514869103317510E-04 +0.0000000000000000E+00
+0.4216676042945600E+03 +0.3536562066803104E-04 +0.0000000000000000E+00
+0.4217220270622800E+03 +0.3558461252319411E-04 +0.0000000000000000E+00
+0.4217764498300000E+03 +0.3580569332851517E-04 +0.0000000000000000E+00
+0.4218308725977200E+03 +0.3602889025505534E-04 +0.0000000000000000E+00
+0.4218852953654400E+03 +0.3625423092396337E-04 +0.0000000000000000E+00
+0.4219397181331601E+03 +0.3648174341556403E-04 +0.0000000000000000E+00
+0.4219941409008800E+03 +0.3671145627866194E-04 +0.0000000000000000E+00
+0.4220485636686000E+03 +0.3694339854006976E-04 +0.0000000000000000E+00
+0.4221029864363200E+03 +0.3717759971436572E-04 +0.0000000000000000E+00
+0.4221574092040400E+03 +0.3741408981388465E-04 +0.0000000000000000E+00
+0.4222118319717600E+03 +0.3765289935895376E-04 +0.0000000000000000E+00
+0.4222662547394800E+03 +0.3789405938837450E-04 +0.0000000000000000E+00
+0.4223206775072000E+03 +0.3813760147016198E-04 +0.0000000000000000E+00
+0.4223751002749200E+03 +0.3838355771254781E-04 +0.0000000000000000E+00
+0.4224295230426400E+03 +0.3863196077525076E-04 +0.0000000000000000E+00
+0.4224839458103600E+03 +0.3888284388102935E-04 +0.0000000000000000E+00
+0.4225383685780801E+03 +0.3913624082751676E-04 +0.0000000000000000E+00
+0.4225927913458000E+03 +0.3939218599935251E-04 +0.0000000000000000E+00
+0.4226472141135200E+03 +0.3965071438061695E-04 +0.0000000000000000E+00
+0.4227016368812401E+03 +0.3991186156757457E-04 +0.0000000000000000E+00
+0.4227560596489600E+03 +0.4017566378174092E-04 +0.0000000000000000E+00
+0.4228104824166800E+03 +0.4044215788327832E-04 +0.0000000000000000E+00
+0.4228649051844000E+03 +0.4071138138472907E-04 +0.0000000000000000E+00
+0.4229193279521200E+03 +0.4098337246510190E-04 +0.0000000000000000E+00
+0.4229737507198400E+03 +0.4125816998431367E-04 +0.0000000000000000E+00
+0.4230281734875600E+03 +0.4153581349800490E-04 +0.0000000000000000E+00
+0.4230825962552800E+03 +0.4181634327273521E-04 +0.0000000000000000E+00
+0.4231370190230001E+03 +0.4209980030157033E-04 +0.0000000000000000E+00
+0.4231914417907200E+03 +0.4238622632007509E-04 +0.0000000000000000E+00
+0.4232458645584400E+03 +0.4267566382272239E-04 +0.0000000000000000E+00
+0.4233002873261600E+03 +0.4296815607973002E-04 +0.0000000000000000E+00
+0.4233547100938800E+03 +0.4326374715434190E-04 +0.0000000000000000E+00
+0.4234091328616000E+03 +0.4356248192056129E-04 +0.0000000000000000E+00
+0.4234635556293200E+03 +0.4386440608135598E-04 +0.0000000000000000E+00
+0.4235179783970401E+03 +0.4416956618734741E-04 +0.0000000000000000E+00
+0.4235724011647600E+03 +0.4447800965599478E-04 +0.0000000000000000E+00
+0.4236268239324800E+03 +0.4478978479129673E-04 +0.0000000000000000E+00
+0.4236812467002000E+03 +0.4510494080402161E-04 +0.0000000000000000E+00
+0.4237356694679200E+03 +0.4542352783248230E-04 +0.0000000000000000E+00
+0.4237900922356400E+03 +0.4574559696387762E-04 +0.0000000000000000E+00
+0.4238445150033600E+03 +0.4607120025621113E-04 +0.0000000000000000E+00
+0.4238989377710800E+03 +0.4640039076081160E-04 +0.0000000000000000E+00
